# task=cylinder
# algo=PPO
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/run_cylinder_v2_continue/stage1_nn/last.pth
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=026 t= 1.300s reward=+0.687941 done=0 raw_action=[-0.041188, +0.743054, +0.269760, -1.000000, +0.959460, +0.228872, +0.749559, +0.733734, +0.431874, -0.958824, +1.000000, -0.504062, +0.146275, +0.197912, +0.587872, +0.512222, -0.204935, -0.458105, -0.076764, -0.198653, -0.323022]
frame=027 t= 1.350s reward=+1.071720 done=0 raw_action=[-0.012407, +1.000000, -1.000000, -1.000000, +1.000000, -0.581875, +0.659052, +0.774105, +0.393541, -1.000000, +0.626414, -0.380608, -0.220811, +0.017913, +0.944924, -0.476926, +0.489081, -1.000000, -0.175164, +0.052594, +0.217698]
frame=028 t= 1.400s reward=+1.105098 done=0 raw_action=[+0.732620, +0.996395, -0.424374, -0.984835, +1.000000, +0.233707, -0.241922, -0.364032, +0.063089, -1.000000, +1.000000, -0.742439, -0.274815, -0.021671, +0.896989, -0.141610, -0.495516, -0.181107, -0.482241, +0.456322, +0.887860]
frame=029 t= 1.450s reward=-0.089272 done=0 raw_action=[+0.125991, +0.791798, +0.731439, -0.492035, +1.000000, -0.690651, -0.352757, +0.671142, -0.108902, -1.000000, +1.000000, -0.374836, +0.734473, -1.000000, +0.579861, +0.215627, -0.302233, +0.273008, -0.172555, -0.188127, +0.625750]
frame=030 t= 1.500s reward=+1.020656 done=0 raw_action=[+0.542893, +0.518894, +0.857389, +0.010931, +1.000000, -1.000000, +0.759376, +0.018458, +0.135857, -1.000000, +1.000000, -0.916545, +0.800348, -0.377832, +0.328796, -0.176176, +0.123418, -0.151364, -0.105116, -0.119488, -0.047330]
frame=031 t= 1.550s reward=+1.042269 done=0 raw_action=[+0.570213, -0.505221, +1.000000, +0.925577, +1.000000, +0.201056, +0.493302, -0.685672, +0.503102, -1.000000, +0.652462, -1.000000, +0.244835, -0.825955, -0.493371, -0.476582, -0.110106, +0.295362, -0.349838, +0.339272, -0.223705]
frame=032 t= 1.600s reward=+1.061266 done=0 raw_action=[+1.000000, -1.000000, +1.000000, +1.000000, +0.673964, +1.000000, -0.237298, +0.763426, +0.403087, -1.000000, -0.120272, +0.379621, +0.347594, -0.907249, -0.192676, -0.099481, -0.422539, +0.903350, +0.251696, +1.000000, -0.173973]
frame=033 t= 1.650s reward=+0.689728 done=0 raw_action=[+0.584899, -1.000000, +1.000000, +1.000000, +0.909849, +1.000000, -0.726378, +1.000000, +0.995710, -1.000000, -0.860238, +1.000000, +1.000000, -0.230564, +0.113923, +0.501275, +0.104352, +0.409895, +0.331823, +0.042014, -0.372351]
frame=034 t= 1.700s reward=+0.958321 done=0 raw_action=[+0.483333, -1.000000, +1.000000, +0.642609, +1.000000, +0.947818, -1.000000, +0.776918, +0.207240, -1.000000, -0.695585, +1.000000, -0.363435, -0.370438, +0.022497, +0.565927, +0.893086, +0.134751, -0.084417, -0.131352, -0.401504]
frame=035 t= 1.750s reward=+1.032368 done=0 raw_action=[+0.077161, -0.962058, +0.461311, +0.269728, +1.000000, +0.485644, -1.000000, +0.507369, -0.797528, -0.708978, -0.855372, +0.160153, -0.494950, +0.205919, -0.116476, +0.264844, +1.000000, -0.766709, -0.434771, -0.775384, -0.141419]
