# task=cylinder
# algo=PPO
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/run_cylinder_v2_continue/stage1_nn/last.pth
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=026 t= 1.300s reward=+0.687941 done=0 target=[+0.169420, -0.101622, +0.108391, -0.235620, +1.727910, +1.335150, +1.260260, +1.076344, +0.994497, +1.080927, +0.340321, +0.580751, +0.338506, +0.388087, +0.389453, +0.107037, +0.026238, +0.163953, +0.186485, +0.380853, +0.122173]
frame=027 t= 1.350s reward=+1.071720 done=0 target=[+0.168903, -0.059956, +0.066724, -0.235620, +1.727910, +1.310905, +1.287721, +1.108598, +1.010895, +1.039261, +0.366422, +0.564893, +0.329306, +0.388833, +0.428824, +0.087165, +0.046616, +0.122287, +0.179186, +0.383045, +0.131244]
frame=028 t= 1.400s reward=+1.105098 done=0 target=[+0.199429, -0.018439, +0.049042, -0.235620, +1.727910, +1.320643, +1.277640, +1.093430, +1.013523, +0.997594, +0.408089, +0.533958, +0.317855, +0.387930, +0.466199, +0.081265, +0.025970, +0.114740, +0.159093, +0.402058, +0.168238]
frame=029 t= 1.450s reward=-0.089272 done=0 target=[+0.204678, +0.014552, +0.079518, -0.235620, +1.727910, +1.291866, +1.262942, +1.121394, +1.008986, +0.955927, +0.449755, +0.518340, +0.348458, +0.346264, +0.490360, +0.090249, +0.013377, +0.126116, +0.151903, +0.394220, +0.194311]
frame=030 t= 1.500s reward=+1.020656 done=0 target=[+0.227299, +0.036173, +0.115243, -0.235164, +1.727910, +1.250199, +1.294583, +1.122163, +1.014646, +0.914261, +0.491422, +0.480150, +0.381806, +0.330521, +0.504060, +0.082909, +0.018519, +0.119809, +0.147523, +0.389241, +0.192339]
frame=031 t= 1.550s reward=+1.042269 done=0 target=[+0.235620, +0.015122, +0.156910, -0.196599, +1.727910, +1.258577, +1.315137, +1.093594, +1.035609, +0.872594, +0.518608, +0.438484, +0.392007, +0.296106, +0.483503, +0.063051, +0.013931, +0.132116, +0.132947, +0.403377, +0.183018]
frame=032 t= 1.600s reward=+1.061266 done=0 target=[+0.235620, -0.026544, +0.198576, -0.154932, +1.727910, +1.300243, +1.305250, +1.125403, +1.052404, +0.830927, +0.513597, +0.454301, +0.406490, +0.258304, +0.475474, +0.058906, +0.000000, +0.169755, +0.143434, +0.445044, +0.175769]
frame=033 t= 1.650s reward=+0.689728 done=0 target=[+0.235620, -0.068211, +0.235620, -0.113265, +1.727910, +1.335150, +1.274984, +1.167070, +1.093892, +0.789261, +0.477753, +0.495968, +0.448157, +0.248697, +0.480221, +0.079793, +0.004348, +0.186834, +0.157260, +0.446795, +0.160254]
frame=034 t= 1.700s reward=+0.958321 done=0 target=[+0.235620, -0.109878, +0.235620, -0.086490, +1.727910, +1.335150, +1.233317, +1.199441, +1.102527, +0.747594, +0.448771, +0.537634, +0.433014, +0.233262, +0.481158, +0.103373, +0.041560, +0.192449, +0.153743, +0.441322, +0.143525]
frame=035 t= 1.750s reward=+1.032368 done=0 target=[+0.235620, -0.149964, +0.235620, -0.075251, +1.727910, +1.335150, +1.191651, +1.220582, +1.069297, +0.718053, +0.413130, +0.544307, +0.412391, +0.241842, +0.476305, +0.114408, +0.083227, +0.160503, +0.135627, +0.409014, +0.137632]
frame=036 t= 1.800s reward=+0.613633 done=0 target=[+0.234780, -0.158157, +0.205574, -0.099990, +1.727910, +1.335150, +1.149984, +1.235195, +1.027630, +0.722885, +0.379490, +0.524457, +0.386239, +0.227748, +0.484820, +0.110453, +0.106422, +0.118836, +0.113414, +0.373681, +0.146467]
frame=037 t= 1.850s reward=+1.058620 done=0 target=[+0.211839, -0.176829, +0.163908, -0.141656, +1.727910, +1.335150, +1.108317, +1.247579, +0.985964, +0.764552, +0.378487, +0.491993, +0.404337, +0.231738, +0.465878, +0.111768, +0.092628, +0.084895, +0.094599, +0.342608, +0.175918]
frame=038 t= 1.900s reward=+1.091998 done=0 target=[+0.214442, -0.173294, +0.122241, -0.183323, +1.727910, +1.335150, +1.066651, +1.214609, +0.944297, +0.806219, +0.401823, +0.493182, +0.424875, +0.221723, +0.472054, +0.086411, +0.067571, +0.055504, +0.077097, +0.353687, +0.217584]
frame=039 t= 1.950s reward=+1.027021 done=0 target=[+0.224840, -0.158126, +0.080574, -0.224990, +1.727910, +1.335150, +1.024984, +1.174445, +0.911129, +0.847885, +0.430202, +0.504519, +0.439004, +0.222898, +0.466268, +0.044744, +0.048700, +0.055452, +0.052751, +0.369655, +0.258461]
frame=040 t= 2.000s reward=+0.520004 done=0 target=[+0.213021, -0.155533, +0.038908, -0.235620, +1.727910, +1.335150, +0.983317, +1.140166, +0.898847, +0.889552, +0.441893, +0.521300, +0.456755, +0.216036, +0.436445, +0.009388, +0.060928, +0.083268, +0.024315, +0.391962, +0.232180]
frame=041 t= 2.050s reward=+0.371133 done=0 target=[+0.221920, -0.166359, -0.002759, -0.235620, +1.727910, +1.335150, +0.968452, +1.098499, +0.888254, +0.931219, +0.423186, +0.536213, +0.460230, +0.203317, +0.403113, +0.000000, +0.086950, +0.108340, +0.020225, +0.433629, +0.208561]
frame=042 t= 2.100s reward=+1.106967 done=0 target=[+0.186825, -0.156734, -0.044426, -0.235620, +1.727910, +1.335150, +1.010118, +1.056833, +0.911180, +0.972885, +0.381519, +0.551280, +0.448144, +0.242548, +0.361446, +0.000000, +0.128617, +0.143209, +0.055424, +0.475295, +0.191302]
frame=043 t= 2.150s reward=+1.113926 done=0 target=[+0.174739, -0.137795, -0.042461, -0.206186, +1.727910, +1.322718, +1.051785, +1.015166, +0.892256, +1.012750, +0.339852, +0.571313, +0.424214, +0.281559, +0.331932, +0.000000, +0.132153, +0.148923, +0.097091, +0.486633, +0.192705]
frame=044 t= 2.200s reward=+1.127883 done=0 target=[+0.165858, -0.151067, -0.000794, -0.176039, +1.727910, +1.332817, +1.093452, +1.014727, +0.886241, +1.053435, +0.303111, +0.600083, +0.408644, +0.323226, +0.326231, +0.000000, +0.108955, +0.171845, +0.138758, +0.454034, +0.178405]
frame=045 t= 2.250s reward=+1.117547 done=0 target=[+0.165325, -0.161413, +0.040873, -0.183454, +1.727910, +1.335150, +1.135118, +1.040647, +0.913501, +1.095102, +0.293344, +0.629475, +0.385821, +0.353547, +0.329347, +0.023822, +0.089719, +0.176925, +0.180424, +0.430268, +0.178278]
frame=046 t= 2.300s reward=+0.905718 done=0 target=[+0.186938, -0.162415, +0.082539, -0.203890, +1.727910, +1.332883, +1.176785, +1.052178, +0.939032, +1.121232, +0.298670, +0.648612, +0.364503, +0.369199, +0.338264, +0.050915, +0.066186, +0.161338, +0.185484, +0.403720, +0.173006]
frame=047 t= 2.350s reward=+1.127060 done=0 target=[+0.184792, -0.143371, +0.124206, -0.219423, +1.727910, +1.335150, +1.218451, +1.056692, +0.959104, +1.105620, +0.319744, +0.642526, +0.356895, +0.373606, +0.353792, +0.074530, +0.036618, +0.189463, +0.180531, +0.389123, +0.158708]
frame=048 t= 2.400s reward=+0.403627 done=0 target=[+0.182470, -0.111928, +0.111804, -0.235620, +1.727910, +1.332382, +1.260118, +1.059888, +0.982598, +1.080084, +0.329747, +0.616674, +0.336996, +0.386559, +0.360508, +0.092522, +0.024425, +0.165886, +0.190938, +0.393533, +0.164914]
frame=049 t= 2.450s reward=+1.134645 done=0 target=[+0.170040, -0.070261, +0.070138, -0.235620, +1.727910, +1.311448, +1.301785, +1.072843, +0.994913, +1.038417, +0.335001, +0.595231, +0.324582, +0.400824, +0.377811, +0.100778, +0.021405, +0.155646, +0.201338, +0.385972, +0.171562]
frame=050 t= 2.500s reward=+0.773258 done=0 target=[+0.186507, -0.038153, +0.065438, -0.235620, +1.727910, +1.318402, +1.287036, +1.097045, +0.978847, +0.996751, +0.376667, +0.580562, +0.322380, +0.396929, +0.413005, +0.117125, +0.004841, +0.160440, +0.197877, +0.391897, +0.197819]
frame=051 t= 2.550s reward=+1.142761 done=0 target=[+0.177314, -0.000854, +0.051750, -0.235620, +1.727910, +1.276735, +1.293552, +1.117405, +0.988750, +0.955084, +0.408408, +0.549591, +0.334786, +0.374819, +0.440584, +0.115155, +0.002501, +0.131240, +0.186997, +0.371987, +0.201736]
frame=052 t= 2.600s reward=+1.087737 done=0 target=[+0.206550, +0.027801, +0.081009, -0.235620, +1.727910, +1.241533, +1.302733, +1.117024, +0.986950, +0.913417, +0.450075, +0.514921, +0.343917, +0.341966, +0.470714, +0.100300, +0.007714, +0.131281, +0.179075, +0.384026, +0.209230]
frame=053 t= 2.650s reward=+1.106531 done=0 target=[+0.235620, +0.019160, +0.122676, -0.205376, +1.727910, +1.269380, +1.314172, +1.093419, +0.997543, +0.871751, +0.491741, +0.473254, +0.347422, +0.312525, +0.450694, +0.103303, +0.000000, +0.160874, +0.183092, +0.405637, +0.210599]
frame=054 t= 2.700s reward=+1.064818 done=0 target=[+0.235620, -0.022507, +0.164343, -0.163710, +1.727910, +1.286223, +1.331852, +1.105793, +1.008853, +0.830084, +0.502896, +0.449614, +0.377319, +0.290474, +0.444217, +0.105451, +0.000000, +0.171115, +0.187682, +0.428484, +0.209461]
frame=055 t= 2.750s reward=+1.052096 done=0 target=[+0.235620, -0.064173, +0.206009, -0.127831, +1.727910, +1.327890, +1.290185, +1.135064, +1.050520, +0.790578, +0.486317, +0.481816, +0.392490, +0.267371, +0.454055, +0.106383, +0.008104, +0.197633, +0.186210, +0.423588, +0.194978]
frame=056 t= 2.800s reward=+1.084393 done=0 target=[+0.235620, -0.105840, +0.235620, -0.099103, +1.727910, +1.335150, +1.248518, +1.175813, +1.085828, +0.749552, +0.454823, +0.523483, +0.390580, +0.244543, +0.465792, +0.114085, +0.039246, +0.211383, +0.180125, +0.422320, +0.171566]
frame=057 t= 2.850s reward=+1.080752 done=0 target=[+0.235620, -0.124696, +0.235620, -0.099803, +1.727910, +1.335150, +1.206852, +1.189939, +1.066956, +0.723088, +0.435500, +0.526770, +0.384939, +0.242514, +0.476566, +0.125025, +0.080913, +0.197930, +0.175937, +0.388445, +0.148455]
frame=058 t= 2.900s reward=+1.082740 done=0 target=[+0.235620, -0.140447, +0.220858, -0.112903, +1.727910, +1.335150, +1.165185, +1.216756, +1.034907, +0.723051, +0.418652, +0.501472, +0.383028, +0.260226, +0.467611, +0.136132, +0.093722, +0.156263, +0.150120, +0.357617, +0.143417]
frame=059 t= 2.950s reward=+1.039033 done=0 target=[+0.228994, -0.155303, +0.179192, -0.140578, +1.727910, +1.335150, +1.128428, +1.229717, +0.993241, +0.754657, +0.411332, +0.473230, +0.386600, +0.263251, +0.467522, +0.137815, +0.092553, +0.114596, +0.137518, +0.342710, +0.174098]
frame=060 t= 3.000s reward=+1.043868 done=0 target=[+0.221183, -0.149961, +0.137525, -0.182244, +1.727910, +1.335150, +1.092111, +1.218633, +0.951574, +0.795144, +0.422019, +0.478952, +0.399916, +0.234389, +0.479289, +0.114509, +0.087387, +0.086385, +0.119111, +0.345442, +0.214486]
frame=061 t= 3.050s reward=+1.094461 done=0 target=[+0.218439, -0.148547, +0.095858, -0.223911, +1.727910, +1.335150, +1.050445, +1.205121, +0.912453, +0.836811, +0.443278, +0.480696, +0.437475, +0.230067, +0.468998, +0.084251, +0.068508, +0.085230, +0.086928, +0.336356, +0.224199]
frame=062 t= 3.100s reward=+0.305994 done=0 target=[+0.225335, -0.147996, +0.054192, -0.235620, +1.727910, +1.335150, +1.008778, +1.163454, +0.889821, +0.878477, +0.459374, +0.493728, +0.457710, +0.222012, +0.455372, +0.042585, +0.064973, +0.083429, +0.050751, +0.356121, +0.222035]
frame=063 t= 3.150s reward=+0.781562 done=0 target=[+0.204248, -0.164991, +0.012525, -0.235620, +1.727910, +1.335150, +0.976659, +1.121788, +0.909149, +0.920144, +0.428924, +0.503852, +0.454570, +0.228031, +0.414956, +0.000918, +0.103132, +0.106107, +0.025882, +0.397788, +0.204852]
frame=064 t= 3.200s reward=+1.103055 done=0 target=[+0.185915, -0.160964, -0.029142, -0.235620, +1.727910, +1.328944, +0.999444, +1.080121, +0.923515, +0.961811, +0.387257, +0.528056, +0.444604, +0.236621, +0.373289, +0.000000, +0.144798, +0.144365, +0.046276, +0.439455, +0.203468]
