# task=cylinder
# algo=ProprioAdapt
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/stage2_smoke2/stage2_nn/model_best_latent.ckpt
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=026 t= 1.300s reward=+0.520989 done=0 jointpos=[+0.261800, -0.185092, +0.029584, -0.248618, +1.722354, +1.221329, +1.142099, +0.928815, +0.869518, +1.028177, +0.330719, +0.507076, +0.223648, +0.375349, +0.361611, +0.097408, +0.039778, +0.117873, +0.128650, +0.270180, +0.125958]
frame=027 t= 1.350s reward=+0.035602 done=0 jointpos=[+0.261800, -0.164004, +0.017508, -0.251908, +1.721348, +1.180418, +1.158764, +0.930700, +0.877106, +0.973101, +0.373853, +0.490753, +0.209806, +0.370034, +0.380512, +0.090167, +0.039778, +0.100252, +0.122069, +0.266329, +0.133576]
frame=028 t= 1.400s reward=+1.040876 done=0 jointpos=[+0.261800, -0.138889, +0.012104, -0.246724, +1.722198, +1.144207, +1.166208, +0.919075, +0.875179, +0.926243, +0.407921, +0.471145, +0.209867, +0.370885, +0.396003, +0.090813, +0.023743, +0.104270, +0.108738, +0.276931, +0.151069]
frame=029 t= 1.450s reward=+1.050117 done=0 jointpos=[+0.261800, -0.104880, +0.018751, -0.245360, +1.724911, +1.104139, +1.184985, +0.897821, +0.882854, +0.892281, +0.434101, +0.441409, +0.235079, +0.356024, +0.418727, +0.096275, +0.021663, +0.113821, +0.102570, +0.284833, +0.163748]
frame=030 t= 1.500s reward=+0.900769 done=0 jointpos=[+0.261800, -0.094385, +0.048500, -0.239768, +1.724921, +1.083921, +1.215512, +0.879911, +0.893305, +0.892288, +0.456618, +0.391234, +0.282787, +0.336961, +0.411670, +0.093125, +0.007425, +0.124757, +0.098278, +0.295225, +0.171154]
frame=031 t= 1.550s reward=-1.081391 done=0 jointpos=[+0.261800, -0.095474, +0.094919, -0.214917, +1.724919, +1.097760, +1.240019, +0.873655, +0.900623, +0.892247, +0.426892, +0.363202, +0.315348, +0.315754, +0.404233, +0.084447, +0.000883, +0.152819, +0.104183, +0.301979, +0.153049]
frame=032 t= 1.600s reward=+1.026420 done=0 jointpos=[+0.261800, -0.091271, +0.146055, -0.173640, +1.724880, +1.115648, +1.240281, +0.890716, +0.899131, +0.892240, +0.378794, +0.387266, +0.299093, +0.289479, +0.393585, +0.106315, +0.000883, +0.161852, +0.117368, +0.316646, +0.157814]
frame=033 t= 1.650s reward=+0.988142 done=0 jointpos=[+0.261800, -0.102708, +0.190514, -0.121151, +1.724821, +1.137941, +1.238419, +0.918885, +0.904318, +0.892204, +0.336425, +0.454637, +0.270359, +0.258884, +0.385346, +0.129544, +0.000883, +0.170831, +0.118865, +0.317347, +0.152118]
frame=034 t= 1.700s reward=+1.019742 done=0 jointpos=[+0.261800, -0.130153, +0.214040, -0.080189, +1.724780, +1.164699, +1.239259, +0.944913, +0.906940, +0.892175, +0.300372, +0.530875, +0.254315, +0.255220, +0.378394, +0.135412, +0.026089, +0.154582, +0.125263, +0.305474, +0.142494]
frame=035 t= 1.750s reward=+1.018293 done=0 jointpos=[+0.261800, -0.159830, +0.218017, -0.042360, +1.724790, +1.189847, +1.218249, +0.974259, +0.917840, +0.892196, +0.269402, +0.578423, +0.234327, +0.249476, +0.359415, +0.119645, +0.049567, +0.113286, +0.097493, +0.302222, +0.152778]
