# task=cylinder
# algo=ProprioAdapt
# checkpoint=/home/tan/hora/BrainCo/outputs/revo3_right/stage2_smoke2/stage2_nn/model_best_latent.ckpt
# policy_dt_sec=0.050000
# policy_hz=20.000000
# action_semantics=delta
# action_formula=target=prev_target+(1/24)*raw_action then clamp(joint_limits)
# raw_action_definition=policy clamped delta output mu (pre delta-integration, [-1,1])
# target_definition=cur_targets (delta-accumulated + joint-limit clamped, used in PD formula)
# jointpos_definition=hand.data.joint_pos (absolute joint angles, rad)
# joint_order=0:right_index_MPR_joint, 1:right_little_MPR_joint, 2:right_middle_MPR_joint, 3:right_ring_MPR_joint, 4:right_thumb_CMP_joint, 5:right_index_MCP_joint, 6:right_little_MCP_joint, 7:right_middle_MCP_joint, 8:right_ring_MCP_joint, 9:right_thumb_CMR_joint, 10:right_index_PIP_joint, 11:right_little_PIP_joint, 12:right_middle_PIP_joint, 13:right_ring_PIP_joint, 14:right_thumb_MCP_joint, 15:right_index_DIP_joint, 16:right_little_DIP_joint, 17:right_middle_DIP_joint, 18:right_ring_DIP_joint, 19:right_thumb_PIP_joint, 20:right_thumb_DIP_joint

frame=028 t= 1.400s reward=+1.040876 done=0 raw_action=[+0.573626, +0.731103, +0.738965, -1.000000, +1.000000, -0.235575, +0.156161, -0.990228, +0.199023, -1.000000, +1.000000, -0.915457, -0.103370, +0.095359, +0.612470, +0.024771, -0.401856, +0.114165, -0.310969, +0.420118, +0.424007]
frame=029 t= 1.450s reward=+1.050117 done=0 raw_action=[+0.392820, +0.750476, +1.000000, -0.487216, +1.000000, -0.630381, +0.264325, -0.432490, -0.098145, -1.000000, +1.000000, -1.000000, +0.823475, -0.786110, -0.143238, +0.133821, -0.054350, +0.237052, -0.178797, -0.221952, +0.279496]
frame=030 t= 1.500s reward=+0.900769 done=0 raw_action=[+1.000000, -0.546171, +1.000000, +0.696642, +1.000000, -0.249975, +0.480431, -0.710509, +0.032840, -1.000000, +0.535933, -1.000000, +0.602723, -0.329451, -0.483720, -0.067581, -0.316925, +0.254950, -0.109810, +0.196332, +0.174914]
frame=031 t= 1.550s reward=-1.081391 done=0 raw_action=[+1.000000, -1.000000, +1.000000, +1.000000, +1.000000, +0.659198, -0.342729, +0.405553, +1.000000, -0.972030, -0.729630, +0.343113, +0.607467, -0.444641, -0.190917, -0.223858, -0.434374, +0.733646, +0.142251, +0.107232, -0.443514]
frame=032 t= 1.600s reward=+1.026420 done=0 raw_action=[+1.000000, -1.000000, +1.000000, +1.000000, +0.937707, +0.774379, -0.061036, +1.000000, +0.486020, -0.636890, -0.951151, +1.000000, +0.230245, -0.466212, +0.090260, +0.512839, -0.595995, +0.212975, +0.316052, +0.622015, +0.122394]
frame=033 t= 1.650s reward=+0.988142 done=0 raw_action=[+0.913404, -1.000000, +1.000000, +1.000000, +1.000000, +0.739128, -1.000000, +1.000000, +0.160904, -0.638211, -1.000000, +1.000000, +0.437823, -0.854308, -0.162134, +0.555011, -0.395248, +0.176497, +0.053316, +0.028218, -0.124290]
frame=034 t= 1.700s reward=+1.019742 done=0 raw_action=[+0.882747, -1.000000, +1.000000, +0.894925, +1.000000, +0.127151, -1.000000, +0.954938, -0.069298, -0.410642, -1.000000, +1.000000, -0.710035, +0.211552, +0.114143, +0.146090, +0.611148, -0.411261, +0.145435, -0.099639, -0.215484]
frame=035 t= 1.750s reward=+1.018293 done=0 raw_action=[+0.042196, -0.868831, -0.138137, +0.610270, +1.000000, +0.040774, -1.000000, +0.960830, -1.000000, +0.144355, -1.000000, +0.579172, -0.525868, -0.596672, -0.364656, -0.380015, +0.561245, -1.000000, -0.634132, +0.036660, +0.256713]
frame=036 t= 1.800s reward=+0.173576 done=0 raw_action=[+0.047148, -0.143575, -1.000000, -0.811461, +1.000000, +0.258486, -1.000000, +0.070808, -1.000000, +0.457894, -0.746272, -0.498783, -0.500144, -0.145948, +0.039549, -0.038749, +0.458678, -0.991996, -0.140934, -0.610596, +0.142918]
frame=037 t= 1.850s reward=+0.533496 done=0 raw_action=[-0.460271, -0.278978, -1.000000, -0.840746, +1.000000, +0.667183, -1.000000, +0.005415, -0.771158, +0.970783, +0.277095, -0.431536, +1.000000, -0.035737, -0.365824, +0.129850, -0.384795, -0.281907, -0.233362, -0.570440, +0.287360]
frame=038 t= 1.900s reward=+1.029615 done=0 raw_action=[+0.165774, +0.123421, -1.000000, -1.000000, +1.000000, +0.883375, -1.000000, -0.667159, -0.628765, +1.000000, +0.777056, +0.056937, +0.853958, +0.126960, -0.040508, -0.457374, -0.650627, -0.678690, -0.345001, +0.176504, +1.000000]
frame=039 t= 1.950s reward=+0.649912 done=0 raw_action=[+0.311041, +0.567828, -1.000000, -1.000000, +1.000000, +0.842886, -1.000000, -1.000000, -0.425635, +1.000000, +0.738616, +0.295876, +0.439128, -0.118969, -0.265383, -1.000000, -0.406545, -0.095177, -0.618281, +0.222761, +0.798496]
frame=040 t= 2.000s reward=-0.090450 done=0 raw_action=[-0.004303, +0.258731, -1.000000, -1.000000, +1.000000, +0.635977, -1.000000, -0.948589, -0.577377, +1.000000, +0.596794, +0.521702, +0.310392, -0.660122, -0.668327, -1.000000, +0.374185, +0.625898, -0.732473, +0.285001, -0.463170]
frame=041 t= 2.050s reward=+1.036972 done=0 raw_action=[+0.133439, -0.375635, -1.000000, -1.000000, +1.000000, +0.884050, -0.250434, -1.000000, -0.054005, +1.000000, -0.024159, +0.437232, -0.471477, -0.303576, -0.895578, -1.000000, +0.662191, +0.825912, +0.192942, +1.000000, -0.659777]
frame=042 t= 2.100s reward=+1.003866 done=0 raw_action=[-0.629210, +0.410531, -0.809655, -0.115985, +1.000000, +0.005706, +1.000000, -1.000000, +0.210041, +0.677775, -1.000000, +0.735813, -0.876651, +0.783385, -1.000000, -1.000000, +1.000000, +0.801196, +1.000000, +1.000000, -0.212559]
